Postal_Code	Name	Lon	Lat	Language
8660	De Panne	2.5905441	51.096303	NL
8630	De Moeren	2.600584	51.041709	NL
8660	Adinkerke	2.6034114	51.0751267	NL
8630	Houtem (W.-Vl.)	2.6096642	51.0104746	NL
8978	Watou	2.6206457	50.8588172	NL
8691	Leisele	2.6234329	50.9855486	NL
8972	Roesbrugge-Haringe	2.6247955	50.918879	NL
8630	Bulskamp	2.6500228	51.0413505	NL
8670	Koksijde	2.6500795	51.1053908	NL
8630	Beauvoorde	2.65314	51.01456	NL
8630	Wulveringem	2.6544608	51.014517	NL
8691	Izenberge	2.6547262	50.9942337	NL
8972	Proven	2.6560368	50.8904872	NL
8630	Vinkem	2.6628519	51.0161527	NL
8630	Veurne	2.6680059	51.0731945	NL
8691	Stavele	2.6699315	50.938552	NL
8691	Gijverinkhove	2.6725749	50.9761349	NL
8670	Oostduinkerke	2.6824907	51.1158173	NL
8690	Sint-Rijkers	2.687814	50.9915951	NL
8972	Krombeke	2.6885943	50.9148551	NL
8630	Steenkerke (W.-Vl.)	2.6892647	51.0574271	NL
8690	Hoogstade	2.6916569	50.9795594	NL
8670	Wulpen	2.6991737	51.1007563	NL
8690	Oeren	2.7052385	51.0230442	NL
8690	Alveringem	2.7130822	51.0122085	NL
8640	Westvleteren	2.716907	50.9276053	NL
8970	Poperinge	2.7211761	50.8452065	NL
8630	Eggewaartskapelle	2.7218286	51.0496759	NL
8691	Beveren-aan-den-Ijzer	2.7301883	51.0301989	NL
8647	Pollinkhove	2.7322734	50.9710805	NL
8640	Vleteren	2.7327547	50.9296908	NL
8630	Avekapelle	2.7329511	51.0663475	NL
8630	Booitshoeke	2.7332623	51.0869455	NL
8640	Oostvleteren	2.7367963	50.9318028	NL
8954	Westouter	2.7464372	50.7971484	NL
8620	Nieuwpoort	2.7480064	51.1285059	NL
8647	Lo	2.7489727	50.9806703	NL
8630	Zoutenaaie	2.75075	51.0485937	NL
8434	Lombardsijde	2.7565537	51.1478198	NL
8620	Ramskapelle (Nieuwpoort)	2.7620106	51.1095483	NL
8970	Reningelst	2.7634047	50.8170545	NL
8600	Lampernisse	2.7685298	51.0325467	NL
8434	Westende	2.7695246	51.1519765	NL
8647	Reninge	2.77157	50.97334	NL
8647	Lo-Reninge	2.77157	50.97334	FR
8958	Loker	2.7721461	50.7817391	NL
8620	Sint-Joris (Nieuwpoort)	2.7723581	51.1291298	NL
8951	Dranouter	2.7829724	50.7659194	NL
8640	Woesten	2.7891271	50.9006632	NL
8600	Pervijze	2.7941219	51.0733467	NL
8600	Oostkerke (Diksmuide)	2.7972622	51.0464297	NL
8600	Nieuwkapelle	2.7999063	50.999433	NL
8430	Middelkerke	2.8060231	51.1798869	NL
8600	Oudekapelle	2.8080138	51.0135407	NL
